Date,JPM_Spread,MS_Spread
14-Jan,0.7532,1.0148
14-Feb,0.6191,0.8766
14-Mar,0.5696,0.8717
14-Apr,0.5595,0.738
14-May,0.5613,0.7224
14-Jun,0.5594,0.6686
14-Jul,0.624,0.7577
14-Aug,0.5344,0.738
14-Sep,0.6763,0.9063
14-Oct,0.5842,0.7875
14-Nov,0.5592,0.7577
14-Dec,0.6389,0.8197
15-Jan,0.7306,0.8275
15-Feb,0.6364,0.7378
15-Mar,0.654,0.7552
15-Apr,0.6378,0.7726
15-May,0.6415,0.7785
15-Jun,0.7222,0.8469
15-Jul,0.7073,0.7985
15-Aug,0.8051,0.8841
15-Sep,0.8714,0.9851
15-Oct,0.7677,0.8569
15-Nov,0.7507,0.8594
15-Dec,0.7133,0.8532
16-Jan,0.827,1.0555
16-Feb,0.7776,1.213
16-Mar,0.7628,1.0798
16-Apr,0.743,1.0109
16-May,0.6735,0.9518
16-Jun,0.6936,1.0847
16-Jul,0.6143,0.9554
16-Aug,0.5847,0.8868
16-Sep,0.6837,0.9799
16-Oct,0.6292,0.8771
16-Nov,0.604,0.8917
16-Dec,0.6337,0.8671
17-Jan,0.6041,0.8426
17-Feb,0.5296,0.783
17-Mar,0.559,0.817
17-Apr,0.5041,0.6882
17-May,0.4991,0.6793
17-Jun,0.47,0.63
17-Jul,0.4803,0.6152
17-Aug,0.5008,0.6447
17-Sep,0.4763,0.5955
17-Oct,0.441,0.5554
17-Nov,0.4185,0.5355
17-Dec,0.3865,0.5008
18-Jan,0.3695,0.4863
18-Feb,0.4482,0.5793
18-Mar,0.5226,0.651
18-Apr,0.4879,0.6138
18-May,0.5321,0.6951
18-Jun,0.4872,0.6331
18-Jul,0.427,0.5461
18-Aug,0.4244,0.5905
18-Sep,0.4101,0.5516
18-Oct,0.5168,0.6774
18-Nov,0.5414,0.7319
18-Dec,0.6649,0.9066
19-Jan,0.5361,0.7191
19-Feb,0.517,0.6888
19-Mar,0.5212,0.6907
19-Apr,0.4486,0.6382
19-May,0.5352,0.8055
19-Jun,0.3872,0.585
19-Jul,0.3815,0.5494
19-Aug,0.3994,0.5772
19-Sep,0.4758,0.6783
19-Oct,0.371,0.5806
19-Nov,0.3481,0.5266
19-Dec,0.33,0.4857
20-Jan,0.348,0.4836
20-Feb,0.5178,0.712
20-Mar,0.8422,1.2241
20-Apr,0.6155,0.8122
20-May,0.6267,0.7254
20-Jun,0.6299,0.667
20-Jul,0.54,0.5912
20-Aug,0.4735,0.5376
20-Sep,0.5293,0.5834
20-Oct,0.481,0.5548
20-Nov,0.4141,0.4661
20-Dec,0.4539,0.5041
21-Jan,0.434,0.5039
21-Feb,0.4546,0.5342
21-Mar,0.4845,0.604
21-Apr,0.4348,0.5144
21-May,0.4639,0.5436
21-Jun,0.4248,0.5044
21-Jul,0.4647,0.5443
21-Aug,0.4245,0.5042
21-Sep,0.4652,0.5646
21-Oct,0.4651,0.5545
21-Nov,0.5448,0.6341
21-Dec,0.4751,0.6042
22-Jan,0.5841,0.6833
22-Feb,0.6647,0.7932
22-Mar,0.6742,0.8422
22-Apr,0.8607,1.0496
22-May,0.8209,1
22-Jun,1.0494,1.2371
22-Jul,0.8409,1.0099
22-Aug,0.8906,1
22-Sep,1.0991,1.2968
22-Oct,0.9403,1.1289
22-Nov,0.7325,0.9209
22-Dec,0.7811,0.9801
23-Jan,0.6523,0.8015
23-Feb,0.6716,0.8014
23-Mar,0.7419,0.9504
23-Apr,0.7717,0.9801
23-May,0.672,0.8907
23-Jun,0.6117,0.8111
23-Jul,0.5122,0.6569
23-Aug,0.5522,0.7018
23-Sep,0.6473,0.8611
23-Oct,0.6818,0.9801
23-Nov,0.5165,0.7413
23-Dec,0.4421,0.637
24-Jan,0.4416,0.6417
